17:57:00.008572 357.27 1440 1552 14488 -845 61 -30
17:57:00.019945 357.28 1564 1520 14352 -586 43 -38
17:57:00.020087 357.29 1568 1536 14436 -514 78 -59
17:57:00.025537 357.3 1432 1616 14276 -719 72 -55
17:57:00.042207 357.31 1464 1460 14004 -809 -25 9
17:57:00.056559 357.32 1484 1372 14220 -585 -79 36
17:57:00.076645 357.33 1508 1504 14456 -407 60 -10
17:57:00.089634 357.34 1520 1532 14508 -493 259 -43
17:57:00.089808 357.35 1496 1488 13752 -1093 221 -3
17:57:00.089956 357.36 1704 1312 14628 -1045 -39 59
17:57:00.108482 357.37 1792 1344 14728 337 211 -89
17:57:00.120540 357.38 1460 1632 13832 -156 -273 -3
17:57:00.122510 357.39 1624 1244 14264 -383 -5 0
17:57:00.141941 357.4 1528 1380 14444 342 133 -8
17:57:00.154873 357.41 1504 1488 13680 -682 -135 82
17:57:00.155072 357.42 1660 1208 13776 -303 92 113
17:57:00.159792 357.43 1616 1464 14492 733 340 21
17:57:00.179312 357.44 1612 1608 14756 875 418 -38
17:57:00.189123 357.45 1488 1644 14476 794 398 -43
17:57:00.211867 357.46 1368 1748 14228 462 491 3
17:57:00.219844 357.47 1416 1680 14188 325 510 1
17:57:00.222146 357.48 1416 1748 14300 255 348 21
17:57:00.224444 357.49 1480 1592 14224 245 339 26
17:57:00.274989 357.5 1596 1488 14184 307 360 25
17:57:00.287963 357.51 1620 1496 14236 369 338 16
17:57:00.288216 357.52 1516 1556 13852 416 292 32
17:57:00.288467 357.53 1548 1580 14100 473 222 31
17:57:00.288740 357.54 1488 1544 14192 678 151 27
17:57:00.288966 357.55 1536 1480 14380 879 134 9
17:57:00.311542 357.56 1600 1628 14416 908 254 -21
17:57:00.320095 357.57 1568 1612 14368 830 304 -11
17:57:00.327147 357.58 1532 1596 14292 809 314 -7
17:57:00.329116 357.59 1524 1660 14292 806 351 -35
17:57:00.346529 357.6 1544 1780 14204 818 331 -33
17:57:00.354976 357.61 1616 1620 14236 823 292 9
17:57:00.355121 357.62 1568 1712 14196 853 257 28
17:57:00.362659 357.63 1488 1748 14268 976 277 -11
17:57:00.381191 357.64 1556 1764 14160 988 292 32
17:57:00.413376 357.65 1540 1912 14208 1092 357 -33
17:57:00.421977 357.66 1488 1940 14308 1218 330 2
17:57:00.422085 357.67 1444 1892 14260 1291 355 0
17:57:00.422155 357.68 1572 1984 14240 1396 347 2
17:57:00.422427 357.69 1616 2116 14220 1394 282 -31
17:57:00.477555 357.7 1460 2064 14548 1487 595 -29
17:57:00.485947 357.71 1356 2104 14060 1231 368 -19
17:57:00.486070 357.72 1508 2088 13900 896 344 12
17:57:00.486146 357.73 1584 2032 14104 1169 363 -17
17:57:00.512993 357.74 1352 2092 14028 1276 78 -14
17:57:00.520592 357.75 1496 2008 14164 1516 160 -37
17:57:00.520748 357.76 1508 2152 14168 1653 320 -77
17:57:00.574127 357.77 1484 2272 14348 1569 317 -47
17:57:00.590979 357.78 1480 2296 14220 1435 307 -43
17:57:00.591144 357.79 1368 2344 14272 1286 284 -65
17:57:00.591285 357.8 1512 2388 14260 1266 327 -101
17:57:00.591426 357.81 1544 2468 14272 1409 280 -119
17:57:00.591563 357.82 1384 2464 14276 1428 323 -104
17:57:00.591698 357.83 1488 2524 14224 1325 362 -105
17:57:00.591832 357.84 1560 2448 14240 1177 337 -92
17:57:00.597302 357.85 1540 2416 14188 1139 370 -55
17:57:00.599559 357.86 1504 2400 14004 1146 300 -73
17:57:00.648246 357.87 1412 2516 13964 1167 306 -60
17:57:00.655663 357.88 1504 2580 14068 1154 230 -43
17:57:00.655762 357.89 1496 2540 14092 1148 274 -83
17:57:00.660581 357.9 1524 2428 14172 1313 302 -76
17:57:00.661859 357.91 1388 2636 14204 1461 336 -114
17:57:00.663102 357.92 1420 2632 14208 1436 303 -96
17:57:00.683134 357.93 1344 2820 14072 1264 355 -109
17:57:00.690274 357.94 1488 2744 14220 1096 381 -125
